row_id,probe,video_id,question_id,mask_level_pct,confidence_bin,confidence,model_key,model_name,uncertainty_correct
1,II-A,mask_000_v_00,mask_000_q_00_00,0,0,0.1,qwen2_vl_2b,Qwen2-VL-2B,1
2,II-A,mask_000_v_00,mask_000_q_00_01,0,0,0.1,qwen2_vl_2b,Qwen2-VL-2B,1
3,II-A,mask_000_v_00,mask_000_q_00_02,0,0,0.1,qwen2_vl_2b,Qwen2-VL-2B,1
4,II-A,mask_000_v_00,mask_000_q_00_03,0,0,0.1,qwen2_vl_2b,Qwen2-VL-2B,1
5,II-A,mask_000_v_00,mask_000_q_00_04,0,0,0.1,qwen2_vl_2b,Qwen2-VL-2B,1
6,II-A,mask_000_v_00,mask_000_q_00_05,0,0,0.1,qwen2_vl_2b,Qwen2-VL-2B,1
7,II-A,mask_000_v_00,mask_000_q_00_06,0,0,0.1,qwen2_vl_2b,Qwen2-VL-2B,1
8,II-A,mask_000_v_00,mask_000_q_00_07,0,0,0.1,qwen2_vl_2b,Qwen2-VL-2B,1
9,II-A,mask_000_v_00,mask_000_q_00_08,0,0,0.1,qwen2_vl_2b,Qwen2-VL-2B,1
10,II-A,mask_000_v_00,mask_000_q_00_09,0,0,0.1,qwen2_vl_2b,Qwen2-VL-2B,1
11,II-A,mask_000_v_00,mask_000_q_00_10,0,0,0.1,qwen2_vl_2b,Qwen2-VL-2B,1
12,II-A,mask_000_v_00,mask_000_q_00_11,0,0,0.1,qwen2_vl_2b,Qwen2-VL-2B,1
13,II-A,mask_000_v_00,mask_000_q_00_12,0,0,0.1,qwen2_vl_2b,Qwen2-VL-2B,1
14,II-A,mask_000_v_00,mask_000_q_00_13,0,0,0.1,qwen2_vl_2b,Qwen2-VL-2B,1
15,II-A,mask_000_v_00,mask_000_q_00_14,0,0,0.1,qwen2_vl_2b,Qwen2-VL-2B,1
16,II-A,mask_000_v_00,mask_000_q_00_15,0,0,0.1,qwen2_vl_2b,Qwen2-VL-2B,1
17,II-A,mask_000_v_00,mask_000_q_00_16,0,0,0.1,qwen2_vl_2b,Qwen2-VL-2B,1
18,II-A,mask_000_v_00,mask_000_q_00_17,0,0,0.1,qwen2_vl_2b,Qwen2-VL-2B,0
19,II-A,mask_000_v_00,mask_000_q_00_18,0,0,0.1,qwen2_vl_2b,Qwen2-VL-2B,0
20,II-A,mask_000_v_00,mask_000_q_00_19,0,0,0.1,qwen2_vl_2b,Qwen2-VL-2B,0
21,II-A,mask_000_v_01,mask_000_q_01_00,0,1,0.3,qwen2_vl_2b,Qwen2-VL-2B,1
22,II-A,mask_000_v_01,mask_000_q_01_01,0,1,0.3,qwen2_vl_2b,Qwen2-VL-2B,1
23,II-A,mask_000_v_01,mask_000_q_01_02,0,1,0.3,qwen2_vl_2b,Qwen2-VL-2B,1
24,II-A,mask_000_v_01,mask_000_q_01_03,0,1,0.3,qwen2_vl_2b,Qwen2-VL-2B,1
25,II-A,mask_000_v_01,mask_000_q_01_04,0,1,0.3,qwen2_vl_2b,Qwen2-VL-2B,1
26,II-A,mask_000_v_01,mask_000_q_01_05,0,1,0.3,qwen2_vl_2b,Qwen2-VL-2B,1
27,II-A,mask_000_v_01,mask_000_q_01_06,0,1,0.3,qwen2_vl_2b,Qwen2-VL-2B,1
