row_id,probe,condition,video_id,question_id,category_key,category_label,model_key,model_name,a_prior,a_visual,chosen_answer_type,is_correct,supports_logprob,logprob_prior,logprob_visual
1,I-A,original,orig_v_000,orig_q_000,glass_breaking,Glass breaking,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-1.0000000000000002,-2.2
2,I-A,original,orig_v_001,orig_q_001,pouring_liquid,Pouring liquid,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.9800000000000002,-2.18
3,I-A,original,orig_v_002,orig_q_002,fire_burning,Fire / burning,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.9600000000000002,-2.16
4,I-A,original,orig_v_003,orig_q_003,falling_objects,Falling objects,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.9400000000000002,-2.14
5,I-A,original,orig_v_004,orig_q_004,water_splashing,Water splashing,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.9200000000000002,-2.12
6,I-A,original,orig_v_005,orig_q_005,glass_breaking,Glass breaking,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.9000000000000001,-2.1
7,I-A,original,orig_v_006,orig_q_006,pouring_liquid,Pouring liquid,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.8800000000000001,-2.08
8,I-A,original,orig_v_007,orig_q_007,fire_burning,Fire / burning,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-1.0000000000000002,-2.2
9,I-A,original,orig_v_008,orig_q_008,falling_objects,Falling objects,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.9800000000000002,-2.18
10,I-A,original,orig_v_009,orig_q_009,water_splashing,Water splashing,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.9600000000000002,-2.16
11,I-A,original,orig_v_010,orig_q_010,glass_breaking,Glass breaking,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.9400000000000002,-2.14
12,I-A,original,orig_v_011,orig_q_011,pouring_liquid,Pouring liquid,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.9200000000000002,-2.12
13,I-A,original,orig_v_012,orig_q_012,fire_burning,Fire / burning,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.9000000000000001,-2.1
14,I-A,original,orig_v_013,orig_q_013,falling_objects,Falling objects,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.8800000000000001,-2.08
15,I-A,original,orig_v_014,orig_q_014,water_splashing,Water splashing,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-1.0000000000000002,-2.2
16,I-A,original,orig_v_015,orig_q_015,glass_breaking,Glass breaking,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.9800000000000002,-2.18
17,I-A,original,orig_v_016,orig_q_016,pouring_liquid,Pouring liquid,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.9600000000000002,-2.16
18,I-A,original,orig_v_017,orig_q_017,fire_burning,Fire / burning,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.9400000000000002,-2.14
19,I-A,original,orig_v_018,orig_q_018,falling_objects,Falling objects,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.9200000000000002,-2.12
20,I-A,original,orig_v_019,orig_q_019,water_splashing,Water splashing,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.9000000000000001,-2.1
21,I-A,original,orig_v_020,orig_q_020,glass_breaking,Glass breaking,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.8800000000000001,-2.08
22,I-A,original,orig_v_021,orig_q_021,pouring_liquid,Pouring liquid,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-1.0000000000000002,-2.2
23,I-A,original,orig_v_022,orig_q_022,fire_burning,Fire / burning,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.9800000000000002,-2.18
24,I-A,original,orig_v_023,orig_q_023,falling_objects,Falling objects,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.9600000000000002,-2.16
25,I-A,original,orig_v_024,orig_q_024,water_splashing,Water splashing,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.9400000000000002,-2.14
26,I-A,original,orig_v_025,orig_q_025,glass_breaking,Glass breaking,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.9200000000000002,-2.12
27,I-A,original,orig_v_026,orig_q_026,pouring_liquid,Pouring liquid,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.9000000000000001,-2.1
28,I-A,original,orig_v_027,orig_q_027,fire_burning,Fire / burning,qwen2_vl_2b,Qwen2-VL-2B,prior-consistent event,visually grounded event,prior,1,yes,-0.8800000000000001,-2.08
