row_id,probe,video_id,question_id,model_key,model_name,is_correct,confidence
1,II-B,op_v_000,op_q_000,qwen2_vl_2b,Qwen2-VL-2B,1,0.9
2,II-B,op_v_001,op_q_001,qwen2_vl_2b,Qwen2-VL-2B,1,0.9
3,II-B,op_v_002,op_q_002,qwen2_vl_2b,Qwen2-VL-2B,1,0.9
4,II-B,op_v_003,op_q_003,qwen2_vl_2b,Qwen2-VL-2B,1,0.9
5,II-B,op_v_004,op_q_004,qwen2_vl_2b,Qwen2-VL-2B,1,0.9
6,II-B,op_v_005,op_q_005,qwen2_vl_2b,Qwen2-VL-2B,1,0.9
7,II-B,op_v_006,op_q_006,qwen2_vl_2b,Qwen2-VL-2B,1,0.9
8,II-B,op_v_007,op_q_007,qwen2_vl_2b,Qwen2-VL-2B,1,0.9
9,II-B,op_v_008,op_q_008,qwen2_vl_2b,Qwen2-VL-2B,1,0.9
10,II-B,op_v_009,op_q_009,qwen2_vl_2b,Qwen2-VL-2B,1,0.9
11,II-B,op_v_010,op_q_010,qwen2_vl_2b,Qwen2-VL-2B,1,0.9
12,II-B,op_v_011,op_q_011,qwen2_vl_2b,Qwen2-VL-2B,1,0.9
13,II-B,op_v_012,op_q_012,qwen2_vl_2b,Qwen2-VL-2B,1,0.9
14,II-B,op_v_013,op_q_013,qwen2_vl_2b,Qwen2-VL-2B,1,0.9
15,II-B,op_v_014,op_q_014,qwen2_vl_2b,Qwen2-VL-2B,1,0.9
16,II-B,op_v_015,op_q_015,qwen2_vl_2b,Qwen2-VL-2B,1,0.9
17,II-B,op_v_016,op_q_016,qwen2_vl_2b,Qwen2-VL-2B,1,0.9
18,II-B,op_v_017,op_q_017,qwen2_vl_2b,Qwen2-VL-2B,1,0.9
19,II-B,op_v_018,op_q_018,qwen2_vl_2b,Qwen2-VL-2B,1,0.9
20,II-B,op_v_019,op_q_019,qwen2_vl_2b,Qwen2-VL-2B,1,0.9
21,II-B,op_v_020,op_q_020,qwen2_vl_2b,Qwen2-VL-2B,1,0.9
22,II-B,op_v_021,op_q_021,qwen2_vl_2b,Qwen2-VL-2B,1,0.9
23,II-B,op_v_022,op_q_022,qwen2_vl_2b,Qwen2-VL-2B,1,0.9
24,II-B,op_v_023,op_q_023,qwen2_vl_2b,Qwen2-VL-2B,1,0.9
25,II-B,op_v_024,op_q_024,qwen2_vl_2b,Qwen2-VL-2B,1,0.9
26,II-B,op_v_025,op_q_025,qwen2_vl_2b,Qwen2-VL-2B,1,0.9
27,II-B,op_v_026,op_q_026,qwen2_vl_2b,Qwen2-VL-2B,1,0.9
28,II-B,op_v_027,op_q_027,qwen2_vl_2b,Qwen2-VL-2B,1,0.9
29,II-B,op_v_028,op_q_028,qwen2_vl_2b,Qwen2-VL-2B,1,0.9
30,II-B,op_v_029,op_q_029,qwen2_vl_2b,Qwen2-VL-2B,1,0.9
31,II-B,op_v_030,op_q_030,qwen2_vl_2b,Qwen2-VL-2B,1,0.9
32,II-B,op_v_031,op_q_031,qwen2_vl_2b,Qwen2-VL-2B,1,0.9
33,II-B,op_v_032,op_q_032,qwen2_vl_2b,Qwen2-VL-2B,1,0.9
34,II-B,op_v_033,op_q_033,qwen2_vl_2b,Qwen2-VL-2B,1,0.9
35,II-B,op_v_034,op_q_034,qwen2_vl_2b,Qwen2-VL-2B,1,0.9
36,II-B,op_v_035,op_q_035,qwen2_vl_2b,Qwen2-VL-2B,1,0.9
37,II-B,op_v_036,op_q_036,qwen2_vl_2b,Qwen2-VL-2B,1,0.9
38,II-B,op_v_037,op_q_037,qwen2_vl_2b,Qwen2-VL-2B,1,0.9
39,II-B,op_v_038,op_q_038,qwen2_vl_2b,Qwen2-VL-2B,1,0.9
40,II-B,op_v_039,op_q_039,qwen2_vl_2b,Qwen2-VL-2B,1,0.9
41,II-B,op_v_040,op_q_040,qwen2_vl_2b,Qwen2-VL-2B,1,0.9
42,II-B,op_v_041,op_q_041,qwen2_vl_2b,Qwen2-VL-2B,1,0.9
43,II-B,op_v_042,op_q_042,qwen2_vl_2b,Qwen2-VL-2B,1,0.9
44,II-B,op_v_043,op_q_043,qwen2_vl_2b,Qwen2-VL-2B,1,0.9
45,II-B,op_v_044,op_q_044,qwen2_vl_2b,Qwen2-VL-2B,1,0.9
46,II-B,op_v_045,op_q_045,qwen2_vl_2b,Qwen2-VL-2B,1,0.9
47,II-B,op_v_046,op_q_046,qwen2_vl_2b,Qwen2-VL-2B,1,0.9
48,II-B,op_v_047,op_q_047,qwen2_vl_2b,Qwen2-VL-2B,1,0.9
49,II-B,op_v_048,op_q_048,qwen2_vl_2b,Qwen2-VL-2B,1,0.9
50,II-B,op_v_049,op_q_049,qwen2_vl_2b,Qwen2-VL-2B,1,0.9
51,II-B,op_v_000,op_q_050,qwen2_vl_2b,Qwen2-VL-2B,1,0.9
52,II-B,op_v_001,op_q_051,qwen2_vl_2b,Qwen2-VL-2B,1,0.9
53,II-B,op_v_002,op_q_052,qwen2_vl_2b,Qwen2-VL-2B,1,0.9
54,II-B,op_v_003,op_q_053,qwen2_vl_2b,Qwen2-VL-2B,1,0.9
55,II-B,op_v_004,op_q_054,qwen2_vl_2b,Qwen2-VL-2B,1,0.9
56,II-B,op_v_005,op_q_055,qwen2_vl_2b,Qwen2-VL-2B,1,0.9
57,II-B,op_v_006,op_q_056,qwen2_vl_2b,Qwen2-VL-2B,1,0.9
58,II-B,op_v_007,op_q_057,qwen2_vl_2b,Qwen2-VL-2B,1,0.9
59,II-B,op_v_008,op_q_058,qwen2_vl_2b,Qwen2-VL-2B,1,0.9
60,II-B,op_v_009,op_q_059,qwen2_vl_2b,Qwen2-VL-2B,1,0.9
61,II-B,op_v_010,op_q_060,qwen2_vl_2b,Qwen2-VL-2B,1,0.9
62,II-B,op_v_011,op_q_061,qwen2_vl_2b,Qwen2-VL-2B,1,0.9
63,II-B,op_v_012,op_q_062,qwen2_vl_2b,Qwen2-VL-2B,1,0.9
64,II-B,op_v_013,op_q_063,qwen2_vl_2b,Qwen2-VL-2B,1,0.9
65,II-B,op_v_014,op_q_064,qwen2_vl_2b,Qwen2-VL-2B,1,0.9
66,II-B,op_v_015,op_q_065,qwen2_vl_2b,Qwen2-VL-2B,1,0.9
67,II-B,op_v_016,op_q_066,qwen2_vl_2b,Qwen2-VL-2B,1,0.9
68,II-B,op_v_017,op_q_067,qwen2_vl_2b,Qwen2-VL-2B,1,0.9
69,II-B,op_v_018,op_q_068,qwen2_vl_2b,Qwen2-VL-2B,1,0.9
70,II-B,op_v_019,op_q_069,qwen2_vl_2b,Qwen2-VL-2B,1,0.9
71,II-B,op_v_020,op_q_070,qwen2_vl_2b,Qwen2-VL-2B,1,0.9
72,II-B,op_v_021,op_q_071,qwen2_vl_2b,Qwen2-VL-2B,1,0.9
73,II-B,op_v_022,op_q_072,qwen2_vl_2b,Qwen2-VL-2B,1,0.9
74,II-B,op_v_023,op_q_073,qwen2_vl_2b,Qwen2-VL-2B,1,0.9
75,II-B,op_v_024,op_q_074,qwen2_vl_2b,Qwen2-VL-2B,1,0.9
76,II-B,op_v_025,op_q_075,qwen2_vl_2b,Qwen2-VL-2B,1,0.9
77,II-B,op_v_026,op_q_076,qwen2_vl_2b,Qwen2-VL-2B,1,0.9
78,II-B,op_v_027,op_q_077,qwen2_vl_2b,Qwen2-VL-2B,1,0.9
79,II-B,op_v_028,op_q_078,qwen2_vl_2b,Qwen2-VL-2B,1,0.9
80,II-B,op_v_029,op_q_079,qwen2_vl_2b,Qwen2-VL-2B,1,0.9
81,II-B,op_v_030,op_q_080,qwen2_vl_2b,Qwen2-VL-2B,1,0.9
82,II-B,op_v_031,op_q_081,qwen2_vl_2b,Qwen2-VL-2B,1,0.9
83,II-B,op_v_032,op_q_082,qwen2_vl_2b,Qwen2-VL-2B,1,0.9
84,II-B,op_v_033,op_q_083,qwen2_vl_2b,Qwen2-VL-2B,1,0.9
